File name,Scientific name,Common name,Length,Recordist,Date,Time,Country,Location,Elev. (m),Type (predef. / other),Remarks,Cat.nr.,
XC53067 - Rufous-collared Sparrow - Zonotrichia capensis.wav,Zonotrichia capensis,Rufous-collared Sparrow,0:15,Carlos Ferrari,2/13/2004,?:?,Argentina,"Cuesta de Los Terneros, San Rafael, Mendoza",?,song,From Bird Sounds of Southern South America by Lopez-Lanus (2008),,XC53067
XC506362 - Rufous-collared Sparrow - Zonotrichia capensis.wav,Zonotrichia capensis,Rufous-collared Sparrow ,0:09,JAYRSON ARAUJO DE OLIVEIRA,10/5/2019,7:55,Brazil,"Britânia, Goiás",280,song,,,XC506362 
XC462515 - Rufous-collared Sparrow - Zonotrichia capensis.wav,Zonotrichia capensis,Rufous-collared Sparrow,0:59,Rosendo Manuel Fraga,10/23/1978,12:00,Argentina,"Estancia La Candelaria, Buenos Aires",30,song,Songs a territorial male sparrow in early spring. Songs of a second male in the background.,,XC462515 
XC101564 - Rufous-collared Sparrow - Zonotrichia capensis costaricensis.wav,Zonotrichia capensis costaricensis,Rufous-collared Sparrow,1:03,Jeremy Minns,4/11/2012,9:01,Colombia,"Montaña del Oso, Chía, Cundinamarca",3156,song,On isolated tree in pasture.,,XC101564 
humman.wav,human,human,,,,,,,,,,,
XC105227 - Rufous-collared Sparrow - Zonotrichia capensis.wav,Zonotrichia capensis,Rufous-collared Sparrow,1:29,pedroteia,7/2/2012,6:30,Brazil,Serra Grande-Pão de Açúcar-alagoas-Brasil,400,song,Pe da serra,,XC105227 
XC351835 - Rufous-collared Sparrow - Zonotrichia capensis.wav,Zonotrichia capensis,Rufous-collared Sparrow,1:12,Odirlei Vieira da Fonseca,10/28/2016,8:00,Brazil,"Parna Caparaó, Alto Caparaó, Minas Gerais",2197,song,Spontaneous song. Male singing next to Casa Queimada,,XC351835 
XC391056 - Rufous-collared Sparrow - Zonotrichia capensis.wav,Zonotrichia capensis,Rufous-collared Sparrow,2:23,Franco Vushurovich,10/16/2017,12:00,Argentina,"Victoria, Entre Ríos",10,song,,,XC391056 
XC338156 - Rufous-collared Sparrow - Zonotrichia capensis costaricensis.wav,Zonotrichia capensis costaricensis,Rufous-collared Sparrow,0:11,David Ricardo Rodríguez Villamil,10/4/2016,7:52,Colombia,"Universidad Pedagógica Nacional Sede Parque Nacional, Bogotá",2700,song,,,XC338156 
XC342564 - Rufous-collared Sparrow - Zonotrichia capensis.wav,Zonotrichia capensis,Rufous-collared Sparrow,1:00,Nick Komar,11/10/2016,13:10,Brazil,"Parque Ecologica do Tiete, Guarulhos, São Paulo",750,song,Urban park land. Recording filtered for clarity.,,XC342564 
XC465157 - Rufous-collared Sparrow - Zonotrichia capensis.wav,Zonotrichia capensis,Rufous-collared Sparrow,0:15,JAYRSON ARAUJO DE OLIVEIRA,3/28/2019,11:01,Brazil,"Piscicultura - Goiânia, Goiânia, Goiás",700,song,,,XC465157
XC513182 - Rufous-collared Sparrow - Zonotrichia capensis.wav,Zonotrichia capensis,Rufous-collared Sparrow,0:51,Bobby Wilcox,10/26/2019,5:30,Colombia,"Los Robles La Paz, Cesar",2700,song,"In cloud forest about 20m away. ID certainty 95% but the switching back and forth of song phrases so quickly seems a little unlike this species, in my experience.",,XC513182 
XC11293 - Rufous-collared Sparrow - Zonotrichia capensis.wav,Zonotrichia capensis,Rufous-collared Sparrow,0:16,Doug Knapp,12/12/2002,7:00,Colombia,"Bogota, Quebrada la Vieja",2600,song,Very different than Chilean & Venezuelan songs.,,XC11293 
XC104508 - Ocellated Tapaculo - Acropternis orthonyx.wav,Acropternis orthonyx,Ocellated Tapaculo,0:27,Pritam Baruah,2/23/2012,9:45,Colombia,"Montezuma Peak Road, Pueblo Rico, Risaralda, W Andes - Tatama National Park",2300,song,Sitting in the open 15 feet away,,XC104508 
XC428484 - Ocellated Tapaculo - Acropternis orthonyx.wav,Acropternis orthonyx,Ocellated Tapaculo,0:27,Fabrice Schmitt,8/12/2017,10:00,Colombia,"Reserva Rio Blanco, Aguas de Manizales, Manizales",2600,"call, song",[sono],,XC428484 
XC418630 - Rufous-collared Sparrow - Zonotrichia capensis.wav,Zonotrichia capensis,Rufous-collared Sparrow,0:45,Jorge Eduardo Santos Moreno,4/21/2011,12:30,Colombia,"Villa Inés, Bogotá",2600,call,"The Recording was gotten using a laptop which fan was running, that’s why it was necessary to use filter.",,XC418630 
XC390322 - Rufous-collared Sparrow - Zonotrichia capensis.wav,Zonotrichia capensis,Rufous-collared Sparrow,0:52,Barry Edmonston,9/12/2017,11:30,Argentina,"Buenos Aires, Comuna 1, Buenos Aires",0,song,,,XC390322 
XC576070 - Rufous-collared Sparrow - Zonotrichia capensis.wav,Zonotrichia capensis,Rufous-collared Sparrow,0:31,Guilherme Santos Toledo de Lima,6/30/2009,5:00,Brazil,"RPPN Brejo, Saloá, Pernambuco",900,song,,,XC576070 
XC53516 - Rufous-collared Sparrow - Zonotrichia capensis.wav,Zonotrichia capensis,Rufous-collared Sparrow,0:13,Felix Vidoz,1992-10-00,?:?,Argentina,"PN Lago Puelo, Chubut",?,song,From Bird Sounds of Southern South America by Lopez-Lanus (2008),,XC53516
XC36139 - Rufous-collared Sparrow - Zonotrichia capensis.wav,Zonotrichia capensis,Rufous-collared Sparrow,0:30,Fabrice Schmitt,10/3/2008,18:00,Chile,Chicauma,850,song,,,XC36139 
